School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
North Carolina 2014,953,2057,146,552,882,483,1350,406,810,1949,211,541,807,395,462,784
North Dakota State 2014,888,1759,176,540,719,307,1081,325,722,1709,222,498,664,290,381,660
Ohio State 2014,843,1875,200,546,793,346,1187,394,761,1873,173,397,558,354,502,823
Oklahoma State 2014,898,1941,239,693,964,332,1203,356,801,1957,211,552,803,409,484,853
Oklahoma 2014,909,2034,285,601,802,398,1242,376,864,1976,236,544,761,369,426,829
Oregon 2014,928,1977,259,668,865,356,1159,389,838,1907,198,647,912,377,458,748
Pittsburgh 2014,895,1944,183,613,861,432,1291,373,771,1872,205,482,682,352,440,727
Providence 2014,849,1984,218,650,831,432,1278,406,893,2017,188,469,681,374,383,789
Saint Joseph's 2014,840,1789,250,503,780,319,1218,409,825,1966,231,417,602,343,344,780
Saint Louis 2014,829,1869,190,526,755,345,1231,431,755,1875,139,456,665,354,485,828
San Diego State 2014,873,2009,186,598,902,470,1364,355,734,1904,174,410,607,370,490,810
Stanford 2014,896,1950,208,616,877,347,1257,409,844,2006,237,532,743,355,413,838
Stephen F. Austin 2014,922,1992,248,569,800,451,1186,393,746,1643,148,579,840,293,555,725
Syracuse 2014,819,1873,167,506,715,446,1200,306,685,1669,233,409,612,346,455,726
Tennessee 2014,927,2048,205,613,852,501,1424,388,823,1991,192,445,631,351,399,757
Texas Southern 2014,857,1854,217,653,910,386,1246,454,936,2075,222,418,607,386,374,755
Texas 2014,905,2095,178,610,909,528,1449,426,819,2039,259,578,835,399,395,804
Tulsa 2014,835,1899,197,604,894,368,1231,394,741,1830,218,599,869,363,477,851
UCLA 2014,1073,2196,229,628,839,368,1308,379,898,2103,301,507,750,377,529,868
Villanova 2014,870,1907,304,607,848,379,1263,406,763,1886,220,515,728,355,468,782
Virginia Commonwealth 2014,922,2196,260,520,772,479,1317,423,808,1869,170,496,742,369,638,916
Virginia 2014,855,1884,206,533,792,379,1312,362,727,1875,203,403,609,321,413,764
Weber State 2014,732,1541,222,568,767,265,1065,382,753,1763,134,421,599,311,291,652
Western Michigan 2014,779,1684,195,620,856,323,1143,464,773,1883,225,464,651,385,417,698
Wichita State 2014,896,1942,250,664,916,419,1381,374,746,1911,211,438,674,339,435,776
Wisconsin 2014,927,2019,297,642,861,337,1266,307,915,2135,184,418,579,350,370,862
Wofford 2014,808,1804,196,393,592,352,1090,351,727,1642,153,447,659,286,424,760
Xavier 2014,869,1850,174,530,770,379,1213,421,797,1851,233,489,732,335,381,734
Alabama 2012,778,1722,136,443,623,352,1066,423,666,1711,164,422,654,373,442,699
Baylor 2012,1004,2148,259,572,759,470,1280,522,883,2114,232,485,706,428,535,753
Belmont 2012,975,2026,309,572,779,401,1151,430,850,1981,207,456,694,402,506,761
Brigham Young 2012,977,2099,233,540,771,381,1223,473,841,2029,229,447,671,348,554,865
University of California 2012,893,1878,156,477,641,341,1095,411,786,1893,186,346,505,315,438,722
Cincinnati 2012,924,2194,260,414,643,489,1225,403,849,2063,207,371,542,443,518,881
Colorado State 2012,764,1621,189,526,685,266,939,408,738,1696,230,471,669,309,383,662
Colorado 2012,835,1874,199,560,810,351,1192,468,812,2009,229,416,642,366,444,816
Connecticut 2012,858,1900,185,435,657,415,1151,418,785,2034,245,378,514,457,372,728
Creighton 2012,975,1935,287,535,737,330,1163,421,903,2049,228,405,600,328,361,740
Davidson 2012,879,1969,255,558,731,415,1167,388,781,1830,170,506,758,315,409,757
Detroit Mercy 2012,903,2008,165,626,857,434,1124,450,842,1915,244,504,719,381,544,779
Duke 2012,874,1915,274,606,864,406,1152,415,864,1996,153,453,657,395,434,764
Florida State 2012,877,1923,216,473,669,398,1169,550,749,1965,221,482,674,430,531,738
Florida 2012,976,2106,357,499,700,416,1180,410,875,2068,226,428,618,391,464,826
Georgetown 2012,811,1743,186,470,673,367,1108,417,683,1766,164,429,631,360,424,657
Gonzaga 2012,823,1740,215,575,803,359,1095,433,771,1867,198,346,514,332,428,679
Harvard 2012,695,1490,185,458,613,262,923,379,637,1555,143,307,467,273,388,604
Indiana 2012,949,1928,229,655,858,383,1130,463,847,1988,219,479,682,391,482,703
Iona 2012,1021,2033,254,440,617,353,1042,414,885,1962,237,393,565,379,530,747
Iowa State 2012,847,1888,293,503,731,371,1173,419,864,1977,193,365,523,316,395,776
Kansas State 2012,812,1849,183,536,799,471,1129,474,716,1750,178,504,731,385,526,685
Kansas 2012,1023,2169,222,597,863,449,1368,506,826,2176,236,519,721,419,533,837
Kentucky 2012,1096,2248,225,678,938,472,1445,445,889,2379,219,426,614,487,464,799
Lamar 2012,902,2087,153,616,855,497,1288,418,838,1989,177,443,659,385,495,817
Lehigh 2012,902,2030,254,590,768,386,1104,391,808,1952,206,466,661,369,504,833
Long Beach State 2012,880,1880,221,529,790,391,1141,440,804,1909,207,360,519,373,513,736
Long Island University 2012,920,1940,225,704,965,396,1167,546,1039,2313,209,354,510,470,469,763
Louisville 2012,963,2281,233,568,826,518,1423,562,857,2233,218,508,766,509,621,932
Loyola (MD) 2012,755,1775,164,548,762,430,1044,443,739,1723,168,474,688,363,473,699
Marquette 2012,919,2033,201,599,831,414,1149,461,831,2065,213,433,632,468,577,807
Memphis 2012,933,1899,185,563,785,332,1093,444,751,1945,188,518,745,424,492,728
Michigan State 2012,960,2012,200,531,759,420,1302,474,751,1981,214,479,681,364,465,742
Michigan 2012,808,1777,276,363,503,291,967,370,756,1768,203,375,526,329,424,747
Mississippi Valley State 2012,812,2025,252,456,708,460,1156,511,801,1851,233,510,780,386,564,896
Missouri 2012,981,1945,293,559,730,319,1025,358,869,1956,222,361,534,380,501,729
Montana 2012,781,1689,195,482,672,286,949,401,684,1688,165,452,646,346,478,725
Murray State 2012,811,1732,239,551,761,360,1019,458,730,1749,140,401,607,382,546,671
Nevada-Las Vegas 2012,942,2062,291,496,734,408,1227,466,817,1991,217,456,678,383,539,835
New Mexico State 2012,970,2045,165,707,1058,518,1352,533,896,2085,213,454,673,382,524,743
New Mexico 2012,876,1898,264,529,748,395,1216,467,731,1903,213,401,594,351,499,742
Norfolk State 2012,870,1977,198,544,829,421,1186,539,842,2044,210,522,778,431,504,810
North Carolina-Asheville 2012,920,1907,223,682,893,377,1093,456,865,1949,234,462,695,415,539,718
North Carolina State 2012,977,2134,198,545,774,456,1281,470,889,2140,236,487,687,414,461,818
North Carolina 2012,1134,2473,194,629,922,570,1592,447,957,2431,275,360,529,425,507,888
Notre Dame 2012,781,1800,221,474,673,345,1050,342,791,1912,168,345,489,381,367,786
Ohio State 2012,1057,2219,199,600,846,447,1345,449,840,2062,234,419,599,327,577,832
Ohio 2012,901,2107,278,517,749,451,1136,481,775,1880,198,563,787,416,644,881
Purdue 2012,889,2019,284,452,689,391,1039,306,826,1870,216,442,632,352,440,840
Saint Louis 2012,814,1813,238,470,653,346,994,382,691,1668,134,444,618,309,500,750
Saint Mary's (CA) 2012,857,1811,245,508,697,378,1152,383,771,1802,176,350,523,298,393,675
San Diego State 2012,863,1903,197,493,703,360,1153,426,778,1921,234,376,545,320,435,783
South Dakota State 2012,918,1963,284,569,783,363,1078,370,871,1942,199,388,564,327,455,800
South Florida 2012,772,1765,169,421,597,374,1115,485,721,1866,179,416,589,373,397,720
Southern Mississippi 2012,819,1975,215,573,779,471,1133,377,766,1727,179,501,689,295,486,796
St. Bonaventure 2012,770,1687,174,540,710,352,1038,439,719,1723,185,458,642,328,400,639
Syracuse 2012,1006,2156,233,495,709,459,1181,389,795,2064,235,432,639,541,591,807
Temple 2012,861,1836,228,451,627,333,1019,401,806,1855,181,432,615,364,428,724
Texas 2012,836,1927,197,601,820,453,1118,426,774,1862,199,523,772,409,460,725
Vanderbilt 2012,885,1921,307,538,770,361,1125,465,861,2055,206,411,587,407,451,782
Vermont 2012,848,1914,191,528,714,401,1166,445,783,1930,191,436,643,387,452,768
Virginia Commonwealth 2012,837,2040,267,507,740,439,1115,411,762,1796,174,456,660,393,644,875
Virginia 2012,721,1576,155,403,558,253,944,367,636,1589,149,314,495,266,413,680
West Virginia 2012,838,1914,174,496,739,493,1135,422,815,1816,179,385,567,331,444,712
Western Kentucky 2012,769,1952,195,539,785,449,1173,534,839,1940,163,542,755,395,510,869
Wichita State 2012,912,1892,230,491,656,359,1157,403,729,1856,186,416,603,321,422,713
Wisconsin 2012,797,1875,285,425,575,349,1112,320,708,1819,129,370,542,331,388,791
Xavier 2012,899,1986,176,569,819,378,1183,448,828,2062,224,542,732,397,452,831
Arkansas-Pine Bluff 2010,725,1778,141,575,861,422,1286,569,698,1720,170,621,938,321,473,765
Baylor 2010,993,2040,255,530,731,443,1408,491,816,2136,249,481,708,470,435,708
Brigham Young 2010,1025,2120,292,650,823,367,1332,417,836,2049,220,500,733,372,565,809
Butler 2010,845,1911,260,661,896,353,1241,456,805,1936,194,454,669,335,529,807
UC-Santa Barbara 2010,674,1522,205,475,698,268,984,460,671,1611,198,432,647,341,458,710
University of California 2010,966,2028,228,543,717,395,1241,421,866,1993,195,460,663,381,447,742
Clemson 2010,851,1878,216,432,654,420,1178,480,746,1768,148,425,626,381,551,731
Cornell 2010,913,1894,326,393,538,349,1149,414,745,1777,197,467,658,335,463,707
Duke 2010,1049,2375,301,682,899,569,1560,429,884,2204,158,515,750,468,569,842
East Tennessee State 2010,855,1978,177,537,815,445,1277,519,801,1917,260,500,756,425,582,825
Florida State 2010,783,1734,186,431,669,406,1211,528,660,1751,203,409,609,385,513,659
Florida 2010,890,2006,203,472,671,455,1265,423,841,1952,209,367,540,396,465,774
Georgetown 2010,905,1815,212,478,672,333,1132,473,788,1890,216,454,632,380,445,673
Georgia Tech 2010,948,2064,213,512,779,464,1430,574,818,2129,240,489,734,482,547,777
Gonzaga 2010,912,1856,182,608,916,358,1286,444,818,2006,216,439,677,377,442,757
Houston 2010,958,2282,290,545,768,440,1185,315,929,2016,197,569,797,469,585,1011
Kansas State 2010,981,2182,253,734,1098,559,1437,529,853,2037,209,669,955,451,624,826
Kansas 2010,1033,2111,262,609,871,468,1457,470,811,2142,229,461,672,460,502,751
Kentucky 2010,1066,2228,231,649,971,538,1584,538,875,2314,245,473,688,488,531,789
Lehigh 2010,842,1853,220,574,799,339,1201,429,834,1954,236,427,603,360,451,799
Louisville 2010,876,1960,262,491,700,478,1217,453,786,1833,205,527,751,432,505,724
Marquette 2010,861,1890,274,489,660,343,1071,353,828,1841,173,369,542,358,488,758
Maryland 2010,966,2052,195,502,689,421,1270,383,808,2052,221,417,602,490,499,762
Michigan State 2010,974,2068,187,523,764,487,1426,514,829,2043,248,455,642,373,459,736
Minnesota 2010,912,1949,246,463,661,375,1237,427,779,1946,250,434,638,413,496,765
Missouri 2010,926,2104,258,517,714,441,1200,432,775,1890,185,517,736,468,659,830
Montana 2010,791,1636,210,436,603,283,1048,390,690,1654,181,399,609,318,404,643
Morgan State 2010,960,2239,205,688,983,568,1488,499,902,2134,180,622,921,488,529,863
Murray State 2010,978,1961,226,571,821,439,1319,527,761,1967,195,458,660,424,603,667
Nevada-Las Vegas 2010,899,1950,231,456,637,337,1149,395,693,1738,197,585,827,360,535,812
New Mexico State 2010,919,1997,287,537,767,358,1212,437,954,2127,262,469,680,441,452,841
New Mexico 2010,887,2023,273,608,909,458,1347,387,823,1922,255,451,673,331,475,834
North Texas 2010,798,1748,179,662,921,364,1220,485,846,1953,169,442,627,366,420,728
Northern Iowa 2010,747,1741,233,489,645,333,1130,372,693,1705,204,339,491,292,425,750
Notre Dame 2010,918,1953,261,538,744,402,1250,362,873,2008,233,414,558,372,361,756
Oakland 2010,920,2053,206,630,876,477,1344,485,935,2065,190,444,661,381,461,793
Ohio State 2010,983,1999,276,498,716,325,1234,413,826,2015,245,377,531,373,529,801
Ohio 2010,925,2153,278,635,883,443,1371,473,905,2165,222,537,767,472,566,925
Oklahoma State 2010,839,1861,274,485,679,327,1169,418,770,1835,227,476,682,326,440,796
Old Dominion 2010,922,2061,166,405,625,540,1394,457,752,1867,196,369,555,369,509,733
Pittsburgh 2010,809,1811,181,537,775,420,1269,421,754,1883,172,421,637,385,367,714
Purdue 2010,867,1957,187,546,755,351,1170,381,737,1849,184,486,680,381,549,844
Richmond 2010,868,1943,250,441,630,304,1139,384,761,1927,181,493,698,462,528,865
Robert Morris 2010,815,1868,197,572,859,412,1227,520,733,1800,221,619,861,392,549,780
Saint Mary's (CA) 2010,944,1950,284,496,652,370,1244,394,856,2023,144,402,606,390,369,706
Sam Houston State 2010,909,1963,287,511,727,410,1247,442,789,1834,204,502,737,342,510,765
San Diego State 2010,875,1846,179,460,741,444,1257,453,745,1843,225,386,557,375,453,660
Siena 2010,930,2048,160,534,793,442,1310,418,870,2032,209,277,434,364,517,804
Syracuse 2010,1042,2021,244,504,745,417,1337,532,856,2151,261,351,551,480,547,708
Temple 2010,851,1942,204,367,533,377,1281,358,727,1897,176,357,511,346,395,797
Tennessee 2010,991,2174,218,520,775,441,1353,490,804,2031,230,575,827,435,599,876
Texas A&M 2010,813,1846,210,590,892,400,1252,417,761,1854,206,464,660,357,473,803
Texas-El Paso 2010,891,1879,201,501,744,323,1193,435,707,1804,196,521,780,376,519,794
Texas 2010,1005,2158,195,556,878,503,1425,464,843,2091,191,504,737,435,516,791
Utah State 2010,941,1928,242,435,574,362,1238,358,757,1867,198,385,543,322,392,708
Vanderbilt 2010,859,1829,203,616,854,361,1197,448,819,1992,209,427,678,452,445,730
Vermont 2010,826,1884,166,639,930,433,1291,487,798,1991,196,475,688,435,479,761
Villanova 2010,899,1962,252,650,861,441,1272,452,759,1855,240,646,910,390,504,728
Wake Forest 2010,811,1869,134,501,762,463,1306,471,738,1890,179,500,728,429,426,729
Washington 2010,1004,2212,191,652,905,476,1364,460,860,2041,178,621,911,421,578,814
West Virginia 2010,942,2190,257,611,868,585,1467,451,836,2007,209,533,785,417,509,807
Winthrop 2010,735,1934,124,448,696,450,1276,402,695,1749,180,455,677,357,507,871
Wisconsin 2010,776,1750,246,416,568,320,1056,289,673,1586,138,394,572,263,396,739
Wofford 2010,825,1873,203,555,830,402,1243,416,765,1836,169,435,646,345,491,795
Xavier 2010,961,2082,250,621,873,444,1415,452,884,2158,201,464,709,415,449,816
